회사명,종목코드,업종,주요제품,상장일,대표자명,홈페이지,지역
아이크래프트,052460,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","인터넷핵심망(CCR,MCR,NAS등)",2005-01-03 00:00:00,"박우진, 서익수(각자 대표이사)",http://www.icraft21.com,서울특별시
텔코웨어,078000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","소프트웨어(핵심망솔루션,무선데이터솔루션,요소기술) 개발,유지보수,무역",2004-07-20 00:00:00,금한태,http://www.telcoware.com,서울특별시
한솔인티큐브,070590,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",기업통신 및 무선인터넷,2004-01-08 00:00:00,류창성,http://www.hansolinticube.com,서울특별시
드림어스컴퍼니,060570,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",온라인 음악 서비스,2003-12-19 00:00:00,김동훈,http://dreamuscompany.com,서울특별시
YG PLUS,037270,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","광고대행,광고물 제작",2003-08-01 00:00:00,최성준,http://www.ygplus.com,서울특별시
유엔젤,072130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","소프트웨어(무선인터넷 솔루션,ASP통신사업자용 지능망솔루션 및 단문메세지센터) 개발,공급",2003-07-01 00:00:00,유지원,http://www.uangel.com,경기도
한성크린텍,066980,기타 정보 서비스업,수처리설비EPC,2003-01-17 00:00:00,"오태석, 박종운, 이정섭 (각자 대표이사)",http://hasco.co.kr,서울특별시
리노스,039980,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","TRS통신, Kipling Bag외",2002-08-13 00:00:00,지준경,http://www.leenos.co.kr,서울특별시
링네트,042500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",네트워크 구축(Network Integration),2002-01-10 00:00:00,이주석,http://www.ringnet.co.kr,서울특별시
큐로컴,040350,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템통합, 지능형교통시스템",2002-01-10 00:00:00,조중기,http://www.curocom.com,서울특별시
NHN KCP,060250,기타 정보 서비스업,전자결제서비스업,2002-01-08 00:00:00,박준석,http://www.kcp.co.kr,서울특별시
한국테크놀로지,053590,가전제품 및 정보통신장비 소매업,신재생에너지관련장비,2001-08-23 00:00:00,신용구,http://www.myht.co.kr,서울특별시
오픈베이스,049480,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","트래픽솔루션(웹스위치,트래픽서버)",2001-01-09 00:00:00,"황철이, 정진섭(각자 대표이사)",http://www.openbase.co.kr,서울특별시
상상인,038540,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT 통합 솔루션,2000-08-18 00:00:00,"유준원, 이민식(각자 대표이사)",http://www.sangsanginworld.co.kr,경기도
지니뮤직,043610,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",디지털 음악 서비스 및 음원유통,2000-07-20 00:00:00,Park Hyun Jin,http://www.geniemusic.co.kr,서울특별시
